Nuclide,State,Energy,Intensity
Cu62,0,479.6,2106.72
Cu62,0,856.2,1203.84
Cu62,0,875.66,1294128.0
Cu62,0,968.9,2708.64
Cu62,0,971.0,902.88
Cu62,0,1067.0,5718.24
Cu62,0,1128.82,279892.8
Cu62,0,1172.97,3009600.0
Cu62,0,1321.6,9028.8
Cu62,0,1717.6,24377.76
Cu62,0,1985.0,9028.8
Cu62,0,2084.8,42134.399999999994
Cu62,0,2097.6,25280.64
Cu62,0,2301.95,370180.8
Cu62,0,3158.2,5417.28
Cu62,0,3257.3,1264.032
Cu62,0,3271.4,6320.16
Cu62,0,3370.3,74036.15999999999
Cu62,0,3861.7,2407.68
Cu62,0,511.0,1721843200.0
Cu62,0,0.874,212793.35072249762
Cu62,0,7.461,2122428.909571525
Cu62,0,7.478,4142132.922661057
Cu62,0,8.296,863256.6204816496
Cu62,0,8.296,863256.6204816496
Cu64,0,1345.77,28320000.0
Cu64,0,511.0,2098799999.9999998
Cu64,0,0.874,29467247.923933744
Cu64,0,7.461,293806345.32839906
Cu64,0,7.478,573392555.2857125
Cu64,0,8.296,119500008.50462456
Cu64,0,8.296,119500008.50462456
Zn62,0,40.85,219128000.0
Zn62,0,202.67,93911.99999999999
Zn62,0,243.36,21689200.0
Zn62,0,246.95,16322800.0
Zn62,0,260.43,11627200.0
Zn62,0,304.88,2481960.0
Zn62,0,349.6,3868280.0
Zn62,0,385.31,149812.0
Zn62,0,394.03,19229600.0
Zn62,0,489.17,136396.0
Zn62,0,507.6,127452000.0
Zn62,0,548.35,131924000.0
Zn62,0,596.56,223600000.0
Zn62,0,627.8,6708.0
Zn62,0,637.41,2191280.0
Zn62,0,644.82,122980.0
Zn62,0,657.5,11180.0
Zn62,0,671.84,38012.0
Zn62,0,731.23,19676.8
Zn62,0,792.03,76024.0
Zn62,0,827.59,25714.0
Zn62,0,881.4,125216.0
Zn62,0,915.44,131924.0
Zn62,0,1141.91,297388.0
Zn62,0,1186.2,33540.0
Zn62,0,1221.5,12968.8
Zn62,0,1321.3,11180.0
Zn62,0,1389.1,100620.0
Zn62,0,1429.7,237016.0
Zn62,0,1485.1,4472.0
Zn62,0,1525.9,49192.0
Zn62,0,511.0,141040000.0
Zn62,0,0.952,11727189.347174702
Zn62,0,8.028,111457028.90629753
Zn62,0,8.048,217138182.16695413
Zn62,0,8.94,45707593.86028932
Zn62,0,8.94,45707593.86028932
Zn65,0,344.95,98670.0
Zn65,0,770.6,104520.0
Zn65,0,1115.539,1951560000.0
Zn65,0,511.0,110838000.0
Zn65,0,0.952,48395917.926016815
Zn65,0,8.028,458795607.00915515
Zn65,0,8.048,893815715.9734175
Zn65,0,8.94,188148235.02687585
Zn65,0,8.94,188148235.02687585
