8.92E-04,9.71E-04,7.59E-03,7.92E-03,8.26E-03,8.98E-03,4.07E-02
2.00E-01,2.47E-01,2.58E-01,3.05E-01,3.46E-01,3.92E-01,4.84E-01
5.05E-01,5.49E-01,5.97E-01,6.22E-01,6.49E-01,6.77E-01,7.36E-01
7.68E-01,8.01E-01,8.35E-01,8.71E-01,9.08E-01,9.87E-01,1.07E+00
1.12E+00,1.17E+00,1.22E+00,1.32E+00,1.38E+00,1.44E+00,1.50E+00
1.70E+00,2.02E+00,2.10E+00,2.29E+00,3.20E+00,3.33E+00,
2.97E+05,6.01E+05,8.73E+06,1.68E+07,2.41E+06,4.68E+06,2.19E+06
9.39E+02,3.80E+05,1.16E+05,2.48E+04,3.97E+04,1.94E+05,1.39E+03
4.20E+07,1.32E+06,2.24E+06,6.71E+01,2.33E+04,3.80E+02,1.97E+02
1.05E+03,7.60E+02,2.57E+02,1.42E+04,1.32E+03,3.61E+01,5.72E+01
1.95E+07,3.04E+04,1.30E+02,2.83E+05,1.01E+03,2.37E+03,5.37E+02
2.44E+02,9.03E+01,6.74E+02,3.70E+03,6.68E+01,8.04E+02,
