EnergyMid,Intensity
0.4875,15776.0320212
0.5335000000000001,1306.5697855908031
0.61,50365319.20303838
0.667,38179.91138
0.7295,10867130.817865107
0.7975,7915.5540053772975
0.8714999999999999,6873842.770480839
2.4355,276266888.2634589
2.547,3046.7046883162443
4.5515,587683.8145695364
4.976,202879.99047731678
5.4415,1767950300.2844722
5.95,477374394.5820105
6.5055,364342169.95329666
6.803,245860.82986578313
7.1135,99576594.99781525
7.438000000000001,201769120.62051868
7.7780000000000005,67464.2117151709
8.1335,55444501.64301494
9.724,1201480375.7222583
10.168,738184.1273476711
14.534500000000001,623796.0
16.619,192.4272
17.378,4024716602.7134967
18.1715,491417.87141130154
19.8695,1598834929.397801
20.777,16893.85604731903
29.698999999999998,123.7032
31.0555,1236092.0
37.13,185.5548
38.826,1978460.0
40.599000000000004,23756.516799999998
42.453,1685772.0
44.392,8074928.1068
46.4195,2237200.0
53.075,664496.0
58.034,2465651852.7003093
60.6845,1064593.5417031683
63.456,372114.6597031218
66.3545,753153989.3843664
69.38499999999999,883427927.6219524
72.554,6357417.084590331
75.868,178.68240000000003
82.956,47228169.0
90.707,32317547.275000002
94.85,2083963.7032
99.182,112839335.91679999
103.7115,7560994.3168
108.4485,73773794.26640001
113.402,32247860.6356
118.5815,3382475.36
123.9975,8654853.068498401
129.6605,27396359.7561
135.5825,12623118.838399999
141.775,6551216.798199999
148.25,18824454.0
155.02100000000002,90190729.62
162.1015,13472765.158119999
169.50549999999998,58531451.8516
177.247,56829010.496
185.34199999999998,4947880.9426
193.807,39302322.48
202.659,35967885.8984
211.9155,15492313.417200001
221.594,80002578.4
231.7145,102947467.581
242.298,24415011.915
253.36450000000002,51902943.84499999
264.93600000000004,18007545.12344
277.0365,204597428.9792
289.69,31009574.894
302.92100000000005,13320930.07644
316.756,42394814.6
331.22299999999996,23443343.0
346.351,187179502.13768
362.16999999999996,1373436803.96
378.7115,45161041.4616
396.0085,41522929.166
414.095,54362259.11508
433.008,28367420.0
452.78499999999997,183677797.3896
473.46500000000003,587777623.409
495.0895,49792348.05488
517.7015,13799647214.303684
541.3465,138167023.2253
566.0715,49339807.16076
591.9255,75295757.0248
618.9604999999999,6534011.3474
647.2305,302884311.61386
676.7909999999999,60519846.33872
707.702,5519043993.72354
740.0250000000001,10066373774.95626
773.8240000000001,1934742336.7121
809.1669999999999,423283323.06508
846.124,6753772625.67394
884.769,5572128675.67626
925.1790000000001,13028312029.801
967.4345000000001,137130939.16076
1011.6199999999999,136025017.58326998
1057.8235,245934552.802968
1106.1375,293685897.96454
1156.658,33635755.61718
1209.4859999999999,352791635.230708
1264.7269999999999,1038030300.62242
1322.4904999999999,779431754.14841
1382.8925,792718107.71162
1446.0535,11214400257.44483
1512.099,119166701.55399999
1581.161,126722083.35872
1653.377,7610022.170672
1728.8915,16859083.3456
1807.855,126064021.38520001
1890.4250000000002,1926108.2476
1976.7665000000002,37342908.464499995
2067.051,68954013.86742
2161.459,12035001.824199999
2260.1795,4253681.27652
2363.4085,1587547.9136
2471.352,582449.381072
2584.2259999999997,129819496.2516
2702.255,1200303.958
2825.675,3364510.068
2954.732,9703361.703540001
3089.683,193772.88
3230.798,98602142.34976001
3378.3585000000003,7273184.187642
3532.6580000000004,1673415.672378
